accelX,accelY,accelZ,rateX,rateY,rateZ,timestamp,isoTimestamp
0,-1.4,-1.2,-6.1,6.6,-4.1,1740167431.974,2025-02-21T19:50:31.974Z
0,-1.8,-1.6,-6.3,9.8,-5.9,1740167431.984,2025-02-21T19:50:31.984Z
0.2,-1.8,-1.2,-5.1,9.5,-6.6,1740167431.994,2025-02-21T19:50:31.994Z
0.2,-1.6,-1.4,-4.1,10.2,-6.8,1740167432.004,2025-02-21T19:50:32.004Z
0.2,-1.4,-1.2,-3.7,12.4,-7.3,1740167432.014,2025-02-21T19:50:32.014Z
-0.6,-1.4,-2,-2,10.5,-8.1,1740167432.024,2025-02-21T19:50:32.024Z
0,-2,-1.2,-2,10.2,-8.5,1740167432.035,2025-02-21T19:50:32.035Z
0,-1.4,-0.8,-3.2,11.7,-9.3,1740167432.045,2025-02-21T19:50:32.045Z
-0.2,-1.4,-1.4,-2.9,10,-10.2,1740167432.055,2025-02-21T19:50:32.055Z
-0.8,-1.6,-2.2,-3.2,10,-10.5,1740167432.065,2025-02-21T19:50:32.065Z
-0.6,-1.8,-2,-2.9,10.7,-11.2,1740167432.075,2025-02-21T19:50:32.075Z
-0.4,-1,-1.2,-2.2,10.7,-11.2,1740167432.085,2025-02-21T19:50:32.085Z
-0.6,-1.4,-1,-1.2,11,-11,1740167432.095,2025-02-21T19:50:32.095Z
-0.4,-1.6,-1.2,-0.2,10.5,-11,1740167432.105,2025-02-21T19:50:32.105Z
0,-1.8,-1.8,0.2,10.2,-11.7,1740167432.115,2025-02-21T19:50:32.115Z
0.2,-1.4,-1.2,-0.2,9.8,-12.2,1740167432.125,2025-02-21T19:50:32.125Z
-0.2,-1.8,-1,-1.2,11.2,-12.2,1740167432.135,2025-02-21T19:50:32.135Z
-0.8,-1.6,-1.2,-2.2,8.5,-11.7,1740167432.145,2025-02-21T19:50:32.145Z
-0.4,-1.6,-1.4,-2.9,8.1,-11.7,1740167432.156,2025-02-21T19:50:32.156Z
0,-1.6,-1.8,-4.1,9.5,-11.7,1740167432.166,2025-02-21T19:50:32.166Z
0,-1.6,-0.6,-3.7,8.1,-11.5,1740167432.176,2025-02-21T19:50:32.176Z
0,-1.4,-1.6,-3.9,8.3,-11.5,1740167432.186,2025-02-21T19:50:32.186Z
0,-1.8,-1.6,-3.9,8.3,-10.2,1740167432.196,2025-02-21T19:50:32.196Z
0,-1.4,-1.2,-3.7,8.5,-8.3,1740167432.206,2025-02-21T19:50:32.206Z
0,-1.4,-1.4,-3.7,8.3,-5.6,1740167432.216,2025-02-21T19:50:32.216Z
0,-1.6,-1.4,-2.9,6.1,-3.7,1740167432.226,2025-02-21T19:50:32.226Z
0.2,-2.2,-1,-3.9,7.1,-3.7,1740167432.236,2025-02-21T19:50:32.236Z
0.2,-1.6,-1,-4.1,6.6,-4.9,1740167432.246,2025-02-21T19:50:32.246Z
-0.2,-1.6,-0.8,-3.9,5.4,-5.1,1740167432.256,2025-02-21T19:50:32.256Z
0,-1.8,-1.4,-5.1,6.3,-5.6,1740167432.266,2025-02-21T19:50:32.266Z
0,-1.6,-1.4,-5.4,6.1,-5.4,1740167432.276,2025-02-21T19:50:32.276Z
0.4,-1.8,-1.6,-5.1,5.6,-5.4,1740167432.286,2025-02-21T19:50:32.286Z
0,-1.8,-1.4,-5.6,6.8,-5.6,1740167432.296,2025-02-21T19:50:32.296Z
0,-1.6,-1.2,-5.1,7.6,-5.9,1740167432.306,2025-02-21T19:50:32.306Z
0.2,-2,-1.4,-3.9,7.3,-6.6,1740167432.317,2025-02-21T19:50:32.317Z
0,-1.6,-2,-3.2,9.5,-7.1,1740167432.327,2025-02-21T19:50:32.327Z
0.2,-1.6,-1,-1.7,11,-6.1,1740167432.337,2025-02-21T19:50:32.337Z
0.2,-1.2,-1.2,-0.2,9.3,-4.6,1740167432.347,2025-02-21T19:50:32.347Z
0,-1.8,-1,-0.5,11,-4.4,1740167432.357,2025-02-21T19:50:32.357Z
0,-1.6,-1,-0.7,11.2,-4.9,1740167432.367,2025-02-21T19:50:32.367Z
0.2,-1.4,-1.4,-0.5,10,-5.6,1740167432.377,2025-02-21T19:50:32.377Z
0.4,-1.8,-1.4,-1.5,12.2,-6.3,1740167432.387,2025-02-21T19:50:32.387Z
0,-1.6,-1,-2,12.9,-6.6,1740167432.397,2025-02-21T19:50:32.397Z
0.2,-1.8,-1.4,-1.7,12.2,-6.6,1740167432.407,2025-02-21T19:50:32.407Z
0.4,-1.4,-1.8,-2.4,14.2,-5.6,1740167432.417,2025-02-21T19:50:32.417Z
0,-2,-1.4,-2.2,14.4,-4.9,1740167432.427,2025-02-21T19:50:32.427Z
0,-1.6,-1.6,-1.7,13.7,-3.9,1740167432.438,2025-02-21T19:50:32.438Z
0,-2,-1.2,-1.7,14.6,-2.4,1740167432.448,2025-02-21T19:50:32.448Z
0.2,-1.8,-1,-2,14.6,-1.5,1740167432.458,2025-02-21T19:50:32.458Z
0.2,-2,-1.6,-2,13.7,-1,1740167432.468,2025-02-21T19:50:32.468Z
0,-1.6,-1.2,-1.7,14.4,-1,1740167432.478,2025-02-21T19:50:32.478Z
0,-1.8,-1.2,-1.7,15.1,-0.7,1740167432.488,2025-02-21T19:50:32.488Z
0,-1.4,-1.2,-1.5,14.6,0.2,1740167432.498,2025-02-21T19:50:32.498Z
-0.2,-2.2,-1.4,-1.7,15.4,1.2,1740167432.508,2025-02-21T19:50:32.508Z
0.2,-1.8,-1,-2.2,15.4,2.2,1740167432.518,2025-02-21T19:50:32.518Z
-0.4,-1.6,-1.6,-1.7,14.9,3.2,1740167432.528,2025-02-21T19:50:32.528Z
0,-1.6,-1.4,-2,15.9,3.4,1740167432.538,2025-02-21T19:50:32.538Z
0.2,-1.4,-1.4,-1.7,15.4,3.7,1740167432.548,2025-02-21T19:50:32.548Z
-0.2,-1.6,-1.4,-2,15.1,3.4,1740167432.558,2025-02-21T19:50:32.558Z
0,-1.4,-1.4,-2.7,14.6,2.9,1740167432.568,2025-02-21T19:50:32.568Z
0,-1.4,-1.4,-2.9,14.6,2.2,1740167432.578,2025-02-21T19:50:32.578Z
-0.6,-1.2,-1.6,-3.7,14.6,2.4,1740167432.588,2025-02-21T19:50:32.588Z
0.2,-1.4,-1.6,-4.9,15.4,2.9,1740167432.598,2025-02-21T19:50:32.598Z
0,-1.6,-1.6,-5.6,15.6,3.2,1740167432.609,2025-02-21T19:50:32.609Z
0.2,-1.6,-1.6,-6.1,15.9,4.1,1740167432.619,2025-02-21T19:50:32.619Z
