accelX,accelY,accelZ,rateX,rateY,rateZ,timestamp,isoTimestamp
-0.4,-0.6,-1.4,100.3,8.3,63.9,1740975450.223,2025-03-03T04:17:30.223Z
-0.2,-0.4,-1.6,102.5,8.1,60,1740975450.233,2025-03-03T04:17:30.233Z
-0.4,-0.6,-1.6,103.5,8.1,55.6,1740975450.243,2025-03-03T04:17:30.243Z
0,-0.6,-1.8,104.2,8.1,52.5,1740975450.253,2025-03-03T04:17:30.253Z
-0.4,-0.6,-2,103.9,7.1,49.5,1740975450.263,2025-03-03T04:17:30.263Z
-0.2,-0.4,-1.8,102.2,7.3,47.6,1740975450.273,2025-03-03T04:17:30.273Z
-0.6,-0.4,-1.6,98.6,7.6,47.3,1740975450.283,2025-03-03T04:17:30.283Z
-0.2,-0.4,-1.8,93,7.8,46.6,1740975450.293,2025-03-03T04:17:30.293Z
-0.2,-0.4,-2,87.6,6.1,45.9,1740975450.303,2025-03-03T04:17:30.303Z
-0.8,-0.4,-2,83.7,2.2,46.1,1740975450.313,2025-03-03T04:17:30.313Z
-0.4,-0.2,-1.4,80.8,-2,46.6,1740975450.324,2025-03-03T04:17:30.324Z
-0.2,-0.8,-1.8,76.9,-5.1,46.8,1740975450.334,2025-03-03T04:17:30.334Z
-0.6,-0.4,-1.8,72,-7.3,47.6,1740975450.344,2025-03-03T04:17:30.344Z
-0.2,-0.4,-1.8,65.6,-8.3,48.8,1740975450.354,2025-03-03T04:17:30.354Z
-0.4,-0.2,-2.2,57.8,-9.3,50,1740975450.364,2025-03-03T04:17:30.364Z
-0.4,-0.6,-1.6,52,-8.8,50.3,1740975450.374,2025-03-03T04:17:30.374Z
-0.4,-0.2,-2.2,48.1,-7.8,50.8,1740975450.384,2025-03-03T04:17:30.384Z
-0.2,-0.8,-1.6,43.9,-5.6,52.2,1740975450.394,2025-03-03T04:17:30.394Z
-0.4,-0.6,-2,39.5,-2.9,52.5,1740975450.404,2025-03-03T04:17:30.404Z
-0.2,-0.4,-1.4,34.6,-0.2,48.8,1740975450.414,2025-03-03T04:17:30.414Z
-0.6,-1,-2.2,30.5,2.9,46.1,1740975450.424,2025-03-03T04:17:30.424Z
-0.2,-0.8,-1.4,27.8,8.1,42.9,1740975450.434,2025-03-03T04:17:30.434Z
-0.2,-0.4,-1.8,27.1,10,39.5,1740975450.444,2025-03-03T04:17:30.444Z
-0.2,-0.4,-1.4,25.4,11.5,34.6,1740975450.454,2025-03-03T04:17:30.454Z
-0.2,-0.8,-1.4,22.9,13.4,29.8,1740975450.464,2025-03-03T04:17:30.464Z
0,-0.6,-1.8,20.5,13.4,25.1,1740975450.474,2025-03-03T04:17:30.474Z
-0.4,-0.6,-2.2,18.3,13.9,20,1740975450.484,2025-03-03T04:17:30.484Z
-0.2,-0.4,-1.8,16.3,14.9,15.6,1740975450.495,2025-03-03T04:17:30.495Z
-0.4,-0.8,-1.6,15.9,12.9,10.5,1740975450.505,2025-03-03T04:17:30.505Z
-0.6,-0.4,-2,16.1,10.7,6.3,1740975450.515,2025-03-03T04:17:30.515Z
-0.6,-0.2,-2.2,16.1,10.2,2.7,1740975450.525,2025-03-03T04:17:30.525Z
-0.2,-1,-1.4,17.3,8.3,-1.5,1740975450.535,2025-03-03T04:17:30.535Z
-0.2,-0.8,-1.6,18.1,6.6,-5.1,1740975450.545,2025-03-03T04:17:30.545Z
-0.2,-0.8,-1,20.5,7.3,-7.6,1740975450.555,2025-03-03T04:17:30.555Z
-0.2,-0.6,-1.6,23.7,6.6,-9.5,1740975450.565,2025-03-03T04:17:30.565Z
-0.4,-1,-1.6,25.6,5.1,-11.2,1740975450.575,2025-03-03T04:17:30.575Z
-0.4,-0.6,-1.8,26.8,6.1,-11.7,1740975450.585,2025-03-03T04:17:30.585Z
-0.4,-0.6,-1.8,28.1,3.4,-13.2,1740975450.595,2025-03-03T04:17:30.595Z
-0.2,-1,-1.8,28.5,2.7,-13.2,1740975450.605,2025-03-03T04:17:30.605Z
-0.4,-0.2,-2.2,28.1,2.9,-13.2,1740975450.616,2025-03-03T04:17:30.616Z
-0.2,-0.6,-2,27.6,-0.7,-14.4,1740975450.626,2025-03-03T04:17:30.626Z
-0.2,-0.6,-1.8,24.6,-3.9,-15.9,1740975450.636,2025-03-03T04:17:30.636Z
-0.4,-0.4,-2,22.7,-5.9,-17.3,1740975450.646,2025-03-03T04:17:30.646Z
-0.2,-0.8,-1.6,21.7,-8.8,-17.6,1740975450.656,2025-03-03T04:17:30.656Z
-0.2,-0.6,-1.6,22,-10.7,-17.6,1740975450.666,2025-03-03T04:17:30.666Z
-0.2,-0.8,-2.4,22,-13.2,-15.4,1740975450.676,2025-03-03T04:17:30.676Z
-0.2,-0.8,-1.8,20.5,-14.4,-14.6,1740975450.686,2025-03-03T04:17:30.686Z
-0.4,-1.2,-1.4,17.1,-16.3,-12.9,1740975450.696,2025-03-03T04:17:30.696Z
-0.2,-1.2,-1.2,13.4,-19.8,-12.9,1740975450.706,2025-03-03T04:17:30.706Z
0,-1,-1.6,11.2,-19.8,-11.7,1740975450.716,2025-03-03T04:17:30.716Z
-0.2,-0.6,-2,10,-18.3,-10.7,1740975450.726,2025-03-03T04:17:30.726Z
-0.2,-0.8,-1.4,8.5,-18.8,-10,1740975450.736,2025-03-03T04:17:30.736Z
-0.4,-0.8,-1.6,5.4,-19,-10.2,1740975450.746,2025-03-03T04:17:30.746Z
-0.2,-0.6,-1.4,4.1,-21,-9.8,1740975450.756,2025-03-03T04:17:30.756Z
-0.6,-0.8,-1.6,2.2,-24.6,-9.5,1740975450.766,2025-03-03T04:17:30.766Z
-0.2,-0.8,-1.6,-1.5,-24.4,-9.3,1740975450.776,2025-03-03T04:17:30.776Z
-0.2,-1.2,-1.8,-2.2,-21.7,-8.8,1740975450.787,2025-03-03T04:17:30.787Z
-0.2,-0.6,-1.6,-0.5,-20.3,-7.1,1740975450.797,2025-03-03T04:17:30.797Z
-0.4,-1.2,-2.2,1,-16.8,-5.6,1740975450.807,2025-03-03T04:17:30.807Z
-0.2,-0.6,-1.2,1.7,-15.9,-4.4,1740975450.817,2025-03-03T04:17:30.817Z
0,-1.2,-1.8,1,-15.4,-3.9,1740975450.827,2025-03-03T04:17:30.827Z
-0.2,-0.6,-1.8,-2.4,-15.1,-4.4,1740975450.837,2025-03-03T04:17:30.837Z
-0.6,-0.6,-1.6,-2.7,-15.4,-4.1,1740975450.847,2025-03-03T04:17:30.847Z
-0.6,-1.2,-1.6,-2,-15.9,-3.7,1740975450.857,2025-03-03T04:17:30.857Z
-0.4,-1.2,-1.6,-0.7,-15.6,-3.2,1740975450.867,2025-03-03T04:17:30.867Z
-0.4,-0.8,-1.2,0,-17.1,-2.2,1740975450.877,2025-03-03T04:17:30.877Z
-0.4,-1.2,-2,0,-17.6,-2.7,1740975450.888,2025-03-03T04:17:30.888Z
-0.4,-0.6,-1.2,-2.7,-18.1,-3.2,1740975450.898,2025-03-03T04:17:30.898Z
-0.4,-0.8,-1.6,-5.4,-19,-3.2,1740975450.908,2025-03-03T04:17:30.908Z
-0.8,-0.8,-1.2,-4.6,-18.1,-2.4,1740975450.918,2025-03-03T04:17:30.918Z
-0.4,-0.8,-1.6,-2.4,-15.4,-1.7,1740975450.928,2025-03-03T04:17:30.928Z
-0.8,-1,-1.6,0,-12.2,0.2,1740975450.938,2025-03-03T04:17:30.938Z
-0.8,-0.4,-1.2,2.4,-11,1.5,1740975450.948,2025-03-03T04:17:30.948Z
-0.4,-0.8,-1.4,5.4,-10.7,2.4,1740975450.958,2025-03-03T04:17:30.958Z
-0.2,-1,-1.4,8.8,-9.5,4.9,1740975450.968,2025-03-03T04:17:30.968Z
-0.4,-1,-1.8,14.4,-8.5,7.3,1740975450.978,2025-03-03T04:17:30.978Z
-0.8,-0.8,-1.6,19.5,-3.9,9.3,1740975450.988,2025-03-03T04:17:30.988Z
-0.2,-0.8,-1.6,24.6,-2,12.9,1740975450.998,2025-03-03T04:17:30.998Z
-0.6,-1,-1.4,29,-0.5,15.1,1740975451.008,2025-03-03T04:17:31.008Z
-0.2,-0.8,-1.8,33.9,2,17.8,1740975451.018,2025-03-03T04:17:31.018Z
-0.4,-0.8,-1.4,37.8,3.7,21.2,1740975451.028,2025-03-03T04:17:31.028Z
-0.4,-1.2,-1.6,41.2,5.6,24.2,1740975451.038,2025-03-03T04:17:31.038Z
-0.4,-0.8,-1.6,42.9,7.6,25.9,1740975451.048,2025-03-03T04:17:31.048Z
-0.2,-0.8,-1.4,43.9,9.5,26.8,1740975451.058,2025-03-03T04:17:31.058Z
-0.4,-0.6,-1.2,43.9,12.2,27.6,1740975451.069,2025-03-03T04:17:31.069Z
0,-1,-1.8,43.7,13.4,26.1,1740975451.079,2025-03-03T04:17:31.079Z
-0.2,-0.8,-1.6,42.2,15.1,24.9,1740975451.089,2025-03-03T04:17:31.089Z
-0.2,-0.6,-1.2,40.5,15.1,24.2,1740975451.099,2025-03-03T04:17:31.099Z
-0.2,-1.2,-1.6,39.3,14.2,22,1740975451.109,2025-03-03T04:17:31.109Z
0,-0.8,-1.8,38.3,13.7,19.5,1740975451.119,2025-03-03T04:17:31.119Z
-0.4,-1,-1.2,36.6,12.9,17.1,1740975451.129,2025-03-03T04:17:31.129Z
-0.6,-0.8,-1.6,34.9,12.2,15.1,1740975451.139,2025-03-03T04:17:31.139Z
-0.4,-0.4,-1.2,32.7,11.2,12,1740975451.149,2025-03-03T04:17:31.149Z
-0.4,-0.4,-1.2,29.5,11,9.5,1740975451.159,2025-03-03T04:17:31.159Z
