accelX,accelY,accelZ,rateX,rateY,rateZ,timestamp,isoTimestamp
1.6,-0.8,-1,-10.2,-6.8,-3.9,1741722252.712,2025-03-11T19:44:12.712Z
1.4,-0.8,-1,-9,-6.1,-5.1,1741722252.722,2025-03-11T19:44:12.722Z
1.4,-0.8,-0.8,-8.8,-6.1,-6.1,1741722252.732,2025-03-11T19:44:12.732Z
1.6,-1,-0.8,-9.3,-5.1,-7.3,1741722252.742,2025-03-11T19:44:12.742Z
1.4,-1,-0.8,-9.8,-4.9,-8.5,1741722252.752,2025-03-11T19:44:12.752Z
1.4,-0.2,-1.6,-10.7,-5.1,-8.8,1741722252.762,2025-03-11T19:44:12.762Z
1.6,-0.8,-1.4,-11.5,-3.7,-8.3,1741722252.772,2025-03-11T19:44:12.772Z
1.2,-0.6,-1.2,-12,-3.7,-7.6,1741722252.782,2025-03-11T19:44:12.782Z
1.8,-1,-1,-12.9,-2.2,-7.6,1741722252.793,2025-03-11T19:44:12.793Z
1.4,-0.6,-0.8,-12.9,-1.7,-6.8,1741722252.803,2025-03-11T19:44:12.803Z
1.2,-0.6,-1.2,-12.4,-1.5,-5.9,1741722252.813,2025-03-11T19:44:12.813Z
1.4,-0.4,-0.4,-12.7,-1.2,-5.4,1741722252.823,2025-03-11T19:44:12.823Z
1.2,-0.8,-1,-12.4,-1,-4.1,1741722252.833,2025-03-11T19:44:12.833Z
1.6,-1,-1.4,-11.7,0.2,-3.4,1741722252.843,2025-03-11T19:44:12.843Z
1.4,-0.6,-1,-10.7,1.2,-3.2,1741722252.853,2025-03-11T19:44:12.853Z
1.4,-0.6,-1,-9.8,2,-2,1741722252.863,2025-03-11T19:44:12.863Z
1.4,-0.8,-0.6,-8.8,3.4,-1.7,1741722252.873,2025-03-11T19:44:12.873Z
1.4,-1,-0.8,-6.8,4.6,-2,1741722252.883,2025-03-11T19:44:12.883Z
1.4,-0.6,-0.4,-5.6,7.3,-2.2,1741722252.893,2025-03-11T19:44:12.893Z
1.6,-0.4,-0.6,-4.4,9,-3.2,1741722252.904,2025-03-11T19:44:12.904Z
1.4,-0.6,-1.2,-3.2,10.5,-3.7,1741722252.914,2025-03-11T19:44:12.914Z
1.2,-1,-0.8,-2.4,12.2,-3.9,1741722252.924,2025-03-11T19:44:12.924Z
1.4,-0.8,-0.8,-2.7,14.4,-4.6,1741722252.934,2025-03-11T19:44:12.934Z
1.6,-0.6,-0.8,-1.7,16.6,-5.4,1741722252.944,2025-03-11T19:44:12.944Z
1.4,-0.4,-0.8,-1,19.5,-6.1,1741722252.954,2025-03-11T19:44:12.954Z
1.4,-0.6,-0.6,-1,22,-7.1,1741722252.964,2025-03-11T19:44:12.964Z
1.6,-0.8,-0.4,0.5,20.7,-6.3,1741722252.974,2025-03-11T19:44:12.974Z
1.4,-0.8,-0.6,1.2,22,-5.4,1741722252.984,2025-03-11T19:44:12.984Z
1,-0.6,-0.4,3.4,23.2,-5.1,1741722252.994,2025-03-11T19:44:12.994Z
1.4,-0.8,-0.4,6.1,24.4,-3.4,1741722253.004,2025-03-11T19:44:13.004Z
1.6,-1.2,-0.4,9.8,25.1,-1.2,1741722253.014,2025-03-11T19:44:13.014Z
1,-0.4,-0.4,14.2,23.9,2.2,1741722253.024,2025-03-11T19:44:13.024Z
1.8,-1,-0.4,18.8,21,4.6,1741722253.034,2025-03-11T19:44:13.034Z
1.6,-1,-0.4,23.2,17.3,7.8,1741722253.044,2025-03-11T19:44:13.044Z
1.6,-1.2,-0.2,26.6,11.7,9.8,1741722253.054,2025-03-11T19:44:13.054Z
1.6,-0.6,-0.4,29,4.6,12.4,1741722253.064,2025-03-11T19:44:13.064Z
1.4,-0.8,-0.4,29.3,-3.7,13.4,1741722253.075,2025-03-11T19:44:13.075Z
1.4,-0.8,-0.8,26.6,-8.8,12.4,1741722253.085,2025-03-11T19:44:13.085Z
1.4,-0.6,0,22,-13.2,12,1741722253.095,2025-03-11T19:44:13.095Z
1.4,-0.8,-0.4,16.1,-17.6,13.7,1741722253.105,2025-03-11T19:44:13.105Z
1.4,-0.8,0.2,8.8,-23.4,15.6,1741722253.115,2025-03-11T19:44:13.115Z
1.6,-0.6,-0.2,1.5,-29.3,16.8,1741722253.125,2025-03-11T19:44:13.125Z
1.4,-0.8,-0.2,-4.4,-32.9,17.1,1741722253.135,2025-03-11T19:44:13.135Z
1.2,-1.2,-0.8,-8.5,-37.1,16.6,1741722253.145,2025-03-11T19:44:13.145Z
1.4,-0.8,-0.4,-11.2,-39,17.3,1741722253.155,2025-03-11T19:44:13.155Z
1.4,-0.2,-0.8,-12,-40,16.1,1741722253.165,2025-03-11T19:44:13.165Z
1.4,-0.6,-1.4,-10.5,-41.5,15.6,1741722253.175,2025-03-11T19:44:13.175Z
1.2,-1,-0.8,-7.6,-40,12.7,1741722253.186,2025-03-11T19:44:13.186Z
2,-1,-0.8,-3.7,-37.8,10.7,1741722253.196,2025-03-11T19:44:13.196Z
1.4,-0.8,-1.4,1.2,-37.8,6.6,1741722253.206,2025-03-11T19:44:13.206Z
1.4,-1,-0.6,6.6,-36.4,3.7,1741722253.216,2025-03-11T19:44:13.216Z
1.4,-1,-0.6,13.2,-34.4,-0.5,1741722253.226,2025-03-11T19:44:13.226Z
1.8,-1.2,-0.8,21.2,-30.3,-5.4,1741722253.236,2025-03-11T19:44:13.236Z
1.8,-1,-1.2,29.8,-25.4,-9.5,1741722253.246,2025-03-11T19:44:13.246Z
1.4,-1.2,-0.6,37.8,-20.7,-12.9,1741722253.256,2025-03-11T19:44:13.256Z
1.6,-1,-0.8,45.9,-16.8,-16.3,1741722253.266,2025-03-11T19:44:13.266Z
1.6,-1,-0.8,55.1,-12.2,-20,1741722253.276,2025-03-11T19:44:13.276Z
1.4,-0.6,-1,63.4,-4.1,-22.4,1741722253.286,2025-03-11T19:44:13.286Z
1.6,-0.8,-0.4,72.7,1.2,-24.9,1741722253.296,2025-03-11T19:44:13.296Z
1.8,-0.8,-1.2,81.7,6.1,-26.8,1741722253.306,2025-03-11T19:44:13.306Z
1.4,-1,-1,90.3,10,-28.1,1741722253.316,2025-03-11T19:44:13.316Z
1.6,-0.8,-0.8,99.1,13.9,-30.3,1741722253.326,2025-03-11T19:44:13.326Z
1.6,-0.8,-0.8,108.8,17.8,-34.4,1741722253.336,2025-03-11T19:44:13.336Z
1.6,-1.2,-0.6,118.8,24.9,-38.3,1741722253.346,2025-03-11T19:44:13.346Z
1.8,-1,-1,129.1,29.8,-41.2,1741722253.357,2025-03-11T19:44:13.357Z
1.2,-0.8,-1,142.3,30,-44.4,1741722253.367,2025-03-11T19:44:13.367Z
1.8,-1.2,-1,157.6,33.7,-49.8,1741722253.377,2025-03-11T19:44:13.377Z
1.8,-0.8,-1,172.5,37.8,-54.7,1741722253.387,2025-03-11T19:44:13.387Z
1.4,-1,-1,188.1,39.3,-59,1741722253.397,2025-03-11T19:44:13.397Z
1.2,-1,-1,203.7,38.6,-61.7,1741722253.407,2025-03-11T19:44:13.407Z
1.2,-1,-1.4,218.9,35.1,-65.4,1741722253.417,2025-03-11T19:44:13.417Z
1,-0.6,-1.4,232,34.2,-69.8,1741722253.427,2025-03-11T19:44:13.427Z
1.4,-0.8,-1,245,33.7,-74.4,1741722253.437,2025-03-11T19:44:13.437Z
1.2,-1.2,-1.2,256,34.2,-79.1,1741722253.447,2025-03-11T19:44:13.447Z
1.6,-1.2,-1.2,266.7,35.6,-82.7,1741722253.457,2025-03-11T19:44:13.457Z
1.2,-1,-1.8,276,36.6,-86.6,1741722253.467,2025-03-11T19:44:13.467Z
2,-0.8,-1.6,284.5,37.8,-89.1,1741722253.478,2025-03-11T19:44:13.478Z
1.6,-1,-1.8,291.3,40.3,-92.2,1741722253.488,2025-03-11T19:44:13.488Z
1.2,-1,-1.2,297.2,42.5,-93.5,1741722253.498,2025-03-11T19:44:13.498Z
1.8,-1.2,-1.4,301.8,44.9,-95.2,1741722253.508,2025-03-11T19:44:13.508Z
1.4,-0.6,-1.6,306.2,47.6,-95.9,1741722253.518,2025-03-11T19:44:13.518Z
1.4,-1.2,-1.2,310.6,48.1,-94.9,1741722253.528,2025-03-11T19:44:13.528Z
1.6,-0.8,-2,312.6,46.8,-94.9,1741722253.538,2025-03-11T19:44:13.538Z
1,-0.6,-1.4,312.8,47.6,-95.9,1741722253.548,2025-03-11T19:44:13.548Z
1.8,-0.8,-1.4,311.1,50.5,-97.1,1741722253.558,2025-03-11T19:44:13.558Z
1.4,-0.6,-1.4,308.7,56.1,-97.6,1741722253.568,2025-03-11T19:44:13.568Z
1.6,-0.8,-1.6,303.8,60.3,-95.6,1741722253.578,2025-03-11T19:44:13.578Z
1.8,-1,-1.4,297.4,63.2,-92.2,1741722253.588,2025-03-11T19:44:13.588Z
1.8,-0.6,-1.6,291.3,63.9,-88.6,1741722253.598,2025-03-11T19:44:13.598Z
1.8,-1,-1.4,285.7,65.4,-85.2,1741722253.608,2025-03-11T19:44:13.608Z
1.8,-0.4,-0.8,278.6,65.6,-83.4,1741722253.618,2025-03-11T19:44:13.618Z
1.4,-0.8,-1.4,269.9,67.1,-77.8,1741722253.628,2025-03-11T19:44:13.628Z
1.8,-0.6,-1.4,260.3,68.1,-73.9,1741722253.638,2025-03-11T19:44:13.638Z
1.2,-1,-1.2,249.9,67.1,-69.1,1741722253.649,2025-03-11T19:44:13.649Z
1.8,-1.2,-1.2,238.4,66.6,-65.1,1741722253.659,2025-03-11T19:44:13.659Z
1,-0.4,-1.2,226.2,66.1,-61.2,1741722253.669,2025-03-11T19:44:13.669Z
1,-0.4,-1.4,213.7,63.2,-55.9,1741722253.679,2025-03-11T19:44:13.679Z
1.6,-1,-1.2,201.3,59.8,-51.2,1741722253.689,2025-03-11T19:44:13.689Z
1.2,-0.6,-1.6,189.1,55.4,-46.8,1741722253.699,2025-03-11T19:44:13.699Z
1.2,-0.4,-1.2,177.1,50.8,-42.7,1741722253.709,2025-03-11T19:44:13.709Z
1.4,-0.2,-1.4,164.7,46.6,-39.3,1741722253.719,2025-03-11T19:44:13.719Z
1.6,-0.8,-1,151.8,43.4,-35.4,1741722253.729,2025-03-11T19:44:13.729Z
1.6,-1,-1,139.3,39.5,-33.2,1741722253.739,2025-03-11T19:44:13.739Z
1.4,-0.6,-1.2,128.6,34.9,-31.2,1741722253.749,2025-03-11T19:44:13.749Z
1.2,-0.6,-1.4,117.9,32,-28.8,1741722253.76,2025-03-11T19:44:13.760Z
1.2,-1,-1.4,107.8,28.5,-26.8,1741722253.77,2025-03-11T19:44:13.770Z
1,-0.8,-1.4,99.6,25.1,-25.6,1741722253.78,2025-03-11T19:44:13.780Z
1.2,-1,-1.6,91.5,22.4,-25.1,1741722253.79,2025-03-11T19:44:13.790Z
1.4,-0.6,-1.4,83.7,22,-24.6,1741722253.8,2025-03-11T19:44:13.800Z
1.6,-0.6,-1.6,78.1,19.5,-25.1,1741722253.81,2025-03-11T19:44:13.810Z
1.4,-1,-1.2,72.2,20.5,-27.1,1741722253.82,2025-03-11T19:44:13.820Z
1.2,-0.8,-1.2,66.4,22.7,-28.3,1741722253.83,2025-03-11T19:44:13.830Z
1.6,-0.8,-1.4,61.7,23.7,-28.8,1741722253.84,2025-03-11T19:44:13.840Z
1.6,-0.8,-1.4,57.8,25.6,-27.6,1741722253.85,2025-03-11T19:44:13.850Z
1.6,-1,-1,53.9,27.8,-29.5,1741722253.86,2025-03-11T19:44:13.860Z
1.4,-0.8,-1.8,50.5,31.5,-30.5,1741722253.87,2025-03-11T19:44:13.870Z
1.8,-0.4,-1.6,48.8,33.2,-31.7,1741722253.88,2025-03-11T19:44:13.880Z
1.2,-0.8,-1.2,47.6,34.9,-32.7,1741722253.89,2025-03-11T19:44:13.890Z
1.4,-1,-1.2,47.1,34.9,-32.7,1741722253.9,2025-03-11T19:44:13.900Z
1.4,-0.8,-1.4,47.1,35.1,-32.9,1741722253.91,2025-03-11T19:44:13.910Z
1.2,-0.8,-1.2,48.1,35.9,-32.9,1741722253.92,2025-03-11T19:44:13.920Z
1.4,-1.4,-1,49.5,36.1,-30.7,1741722253.931,2025-03-11T19:44:13.931Z
1.4,-1.2,-1.2,52,33.9,-30.7,1741722253.941,2025-03-11T19:44:13.941Z
1.4,-1,-1.2,54.7,34.2,-30.3,1741722253.951,2025-03-11T19:44:13.951Z
1.4,-1,-1.2,57.3,37.3,-29.8,1741722253.961,2025-03-11T19:44:13.961Z
1.2,-1.4,-0.8,61,39,-27.6,1741722253.971,2025-03-11T19:44:13.971Z
1.8,-1,-1.4,65.1,39.8,-26.6,1741722253.981,2025-03-11T19:44:13.981Z
1.6,-1,-1,69.8,39.8,-25.4,1741722253.991,2025-03-11T19:44:13.991Z
1.8,-1.2,-1,74.2,39.3,-24.6,1741722254.001,2025-03-11T19:44:14.001Z
1.2,-0.6,-1.6,79.5,35.9,-24.2,1741722254.011,2025-03-11T19:44:14.011Z
1.8,-0.8,-1.2,83.7,33.9,-25.1,1741722254.021,2025-03-11T19:44:14.021Z
2.2,-0.8,-1.6,86.6,34.6,-26.6,1741722254.031,2025-03-11T19:44:14.031Z
1.8,-0.8,-1,85.4,44.9,-28.5,1741722254.042,2025-03-11T19:44:14.042Z
1.8,-0.8,-0.8,86.1,61,-31.7,1741722254.052,2025-03-11T19:44:14.052Z
1.4,-1.2,-0.8,87.6,58.6,-33.2,1741722254.062,2025-03-11T19:44:14.062Z
1.4,-0.6,-1.2,89.3,54.7,-35.6,1741722254.072,2025-03-11T19:44:14.072Z
1.2,-0.8,-1,91.5,53.4,-36.8,1741722254.082,2025-03-11T19:44:14.082Z
1.4,-0.8,-1.2,93.2,51,-37.8,1741722254.092,2025-03-11T19:44:14.092Z
1.4,-0.6,-1,95.2,45.4,-38.8,1741722254.102,2025-03-11T19:44:14.102Z
1.4,-1.2,-1.2,95.6,42.2,-39,1741722254.112,2025-03-11T19:44:14.112Z
1.8,-1,-1,95.4,42.2,-42,1741722254.122,2025-03-11T19:44:14.122Z
1.6,-0.8,-0.6,94.2,44.7,-45.6,1741722254.132,2025-03-11T19:44:14.132Z
1.4,-1,-0.8,93,45.6,-49,1741722254.142,2025-03-11T19:44:14.142Z
1.8,-0.6,-0.8,91,47.1,-49.8,1741722254.152,2025-03-11T19:44:14.152Z
1.4,-1,-0.8,88.1,48.1,-49.3,1741722254.162,2025-03-11T19:44:14.162Z
1.8,-0.4,-1.2,85.9,48.8,-47.6,1741722254.172,2025-03-11T19:44:14.172Z
0.8,-0.4,-1.4,83.9,48.6,-45.6,1741722254.182,2025-03-11T19:44:14.182Z
1.2,-0.4,-1,82.2,48.8,-42.2,1741722254.192,2025-03-11T19:44:14.192Z
1,-0.4,-1,80,50.3,-38.6,1741722254.202,2025-03-11T19:44:14.202Z
1.4,-0.4,-1.2,77.3,51.7,-34.4,1741722254.213,2025-03-11T19:44:14.213Z
1.8,-0.4,-1.2,74.9,53.4,-29.8,1741722254.223,2025-03-11T19:44:14.223Z
1.4,-0.4,-1,72.5,56.4,-24.9,1741722254.233,2025-03-11T19:44:14.233Z
1.6,-0.6,-0.8,70.5,59,-19.8,1741722254.243,2025-03-11T19:44:14.243Z
1.4,-0.4,-1.2,68.8,60.5,-13.4,1741722254.253,2025-03-11T19:44:14.253Z
1.4,-0.8,-0.6,67.8,60.3,-8.3,1741722254.263,2025-03-11T19:44:14.263Z
1.6,-0.6,-1,66.4,59.8,-3.4,1741722254.273,2025-03-11T19:44:14.273Z
1.2,-0.6,-0.6,64.9,58.3,1.5,1741722254.283,2025-03-11T19:44:14.283Z
1,-1,-0.6,63.2,55.4,5.1,1741722254.293,2025-03-11T19:44:14.293Z
1.4,-1,-0.6,61.2,51.2,7.3,1741722254.303,2025-03-11T19:44:14.303Z
1.4,-1,-0.8,59.3,47.3,9.3,1741722254.313,2025-03-11T19:44:14.313Z
1,-0.4,-1,57.6,43.9,10,1741722254.324,2025-03-11T19:44:14.324Z
1.4,-1,-1,55.4,40,9,1741722254.334,2025-03-11T19:44:14.334Z
1.2,-0.6,-1.2,53.4,36.4,8.8,1741722254.344,2025-03-11T19:44:14.344Z
1.4,-1,-0.6,51,32.9,8.5,1741722254.354,2025-03-11T19:44:14.354Z
1.4,-0.8,-0.8,48.8,29.5,8.3,1741722254.364,2025-03-11T19:44:14.364Z
1.4,-0.6,-0.8,46.4,27.6,7.3,1741722254.374,2025-03-11T19:44:14.374Z
1.4,-0.2,-0.8,44.9,26.4,7.1,1741722254.384,2025-03-11T19:44:14.384Z
1.8,-0.6,-0.6,42.7,25.1,6.8,1741722254.394,2025-03-11T19:44:14.394Z
1.2,-0.6,-0.6,40.7,22.9,6.8,1741722254.404,2025-03-11T19:44:14.404Z
1.2,-0.8,-1,38.8,21,7.1,1741722254.414,2025-03-11T19:44:14.414Z
1.6,-0.6,-1.2,36.4,19.8,6.3,1741722254.424,2025-03-11T19:44:14.424Z
1.6,-0.4,-1,33.9,17.1,5.9,1741722254.434,2025-03-11T19:44:14.434Z
1,-1,-1.2,31.5,13.9,5.4,1741722254.444,2025-03-11T19:44:14.444Z
1.4,-1,-0.6,28.5,11,5.6,1741722254.454,2025-03-11T19:44:14.454Z
1,-0.8,-0.6,25.9,9,5.4,1741722254.464,2025-03-11T19:44:14.464Z
2.2,-0.8,-0.8,22.7,10,4.9,1741722254.474,2025-03-11T19:44:14.474Z
1.4,-0.6,-1.4,19.8,11.5,4.9,1741722254.484,2025-03-11T19:44:14.484Z
1.6,-0.6,-1,16.6,11.7,5.1,1741722254.495,2025-03-11T19:44:14.495Z
1.8,-1.2,-0.4,12.9,10.7,4.9,1741722254.505,2025-03-11T19:44:14.505Z
1.4,-1,-0.6,8.8,10,5.1,1741722254.515,2025-03-11T19:44:14.515Z
1,-0.6,-0.6,5.4,7.1,4.1,1741722254.525,2025-03-11T19:44:14.525Z
1.4,-0.8,-1,1.7,4.6,3.9,1741722254.535,2025-03-11T19:44:14.535Z
1.4,-0.4,-0.8,-2.2,2,4.6,1741722254.545,2025-03-11T19:44:14.545Z
1.2,-0.6,-0.4,-5.4,-2,5.4,1741722254.555,2025-03-11T19:44:14.555Z
1.4,-0.4,-1,-8.8,-5.6,7.1,1741722254.565,2025-03-11T19:44:14.565Z
1.8,-0.6,-1,-11.2,-5.1,9,1741722254.575,2025-03-11T19:44:14.575Z
