accelX,accelY,accelZ,rateX,rateY,rateZ,timestamp,isoTimestamp
0.8,-1.4,-0.4,-2.7,1.7,-0.5,1740167463.776,2025-02-21T19:51:03.776Z
1.4,-1.2,-0.6,-2.7,1.7,-0.5,1740167463.786,2025-02-21T19:51:03.786Z
1.2,-1.2,-0.4,-2,2.2,0,1740167463.797,2025-02-21T19:51:03.797Z
1.6,-1.2,-0.2,-2.2,2.4,-0.2,1740167463.807,2025-02-21T19:51:03.807Z
1,-1.4,0.2,-1.7,2.7,0,1740167463.817,2025-02-21T19:51:03.817Z
1,-1.2,0,-1.5,3.2,0,1740167463.827,2025-02-21T19:51:03.827Z
1,-0.6,-0.4,-1.2,3.2,0,1740167463.837,2025-02-21T19:51:03.837Z
0.8,-1.4,-0.2,-0.7,3.2,0,1740167463.847,2025-02-21T19:51:03.847Z
1.4,-1.2,-0.2,-0.5,2.9,0,1740167463.857,2025-02-21T19:51:03.857Z
1,-1,-0.2,-1,2.7,-0.2,1740167463.867,2025-02-21T19:51:03.867Z
0.8,-1.2,-0.2,-0.7,2.9,0,1740167463.877,2025-02-21T19:51:03.877Z
1,-1,0,-1.5,3.4,-0.2,1740167463.887,2025-02-21T19:51:03.887Z
1.2,-1.4,-0.4,-2,3.7,-0.5,1740167463.897,2025-02-21T19:51:03.897Z
1.2,-1.6,-0.4,-2.4,3.7,-0.2,1740167463.908,2025-02-21T19:51:03.908Z
0.4,-1.2,-0.4,-3.2,3.7,0,1740167463.918,2025-02-21T19:51:03.918Z
1.2,-1.2,0.2,-3.4,3.2,0.7,1740167463.928,2025-02-21T19:51:03.928Z
1.2,-1.4,-0.2,-2.9,3.2,1.2,1740167463.938,2025-02-21T19:51:03.938Z
1.4,-1.2,-0.4,-3.4,2.4,1.2,1740167463.948,2025-02-21T19:51:03.948Z
0.8,-1.4,-0.2,-2.9,2.2,2,1740167463.958,2025-02-21T19:51:03.958Z
1,-1.2,0,-2.9,1.7,1.7,1740167463.968,2025-02-21T19:51:03.968Z
1.2,-1.2,-0.2,-2.9,1.2,1.7,1740167463.978,2025-02-21T19:51:03.978Z
1,-1.4,0,-2.9,0.5,1.5,1740167463.988,2025-02-21T19:51:03.988Z
1,-1.2,-0.2,-2.7,0,1.5,1740167463.998,2025-02-21T19:51:03.998Z
1,-1,-0.4,-2.7,0,1.5,1740167464.008,2025-02-21T19:51:04.008Z
1,-1.4,0,-2.9,0.7,1.2,1740167464.018,2025-02-21T19:51:04.018Z
0.8,-1,0.4,-2.7,0.5,1,1740167464.028,2025-02-21T19:51:04.028Z
1.6,-1.2,-0.4,-2.4,0.2,1.2,1740167464.038,2025-02-21T19:51:04.038Z
0.8,-0.8,-0.4,-2.7,0.7,1,1740167464.048,2025-02-21T19:51:04.048Z
0.4,-2.2,-0.2,-2.2,0.7,1,1740167464.058,2025-02-21T19:51:04.058Z
1.4,-1.6,-0.2,-2.2,0.7,1,1740167464.068,2025-02-21T19:51:04.068Z
1.2,-1.4,-0.6,-2.2,1.2,0.7,1740167464.079,2025-02-21T19:51:04.079Z
0.8,-0.8,-0.2,-2,1.7,0.2,1740167464.089,2025-02-21T19:51:04.089Z
1,-1.2,-0.8,-2,1.7,0,1740167464.099,2025-02-21T19:51:04.099Z
1.2,-1.4,-0.2,-2.2,1.7,0,1740167464.109,2025-02-21T19:51:04.109Z
1,-1,0.2,-1.7,2.4,0.5,1740167464.119,2025-02-21T19:51:04.119Z
1,-1.2,0,-2,2.4,0.5,1740167464.129,2025-02-21T19:51:04.129Z
1.4,-1.4,-0.4,-2.2,1.5,0.2,1740167464.139,2025-02-21T19:51:04.139Z
0.6,-1.2,0,-2.4,1.7,1,1740167464.149,2025-02-21T19:51:04.149Z
1.2,-1.4,-0.6,-2.7,1.7,0.7,1740167464.159,2025-02-21T19:51:04.159Z
1.2,-1.2,0,-2.7,0.7,0.7,1740167464.169,2025-02-21T19:51:04.169Z
1.2,-1.6,0,-2.9,0.2,0.2,1740167464.179,2025-02-21T19:51:04.179Z
1,-1.4,-0.2,-3.2,-0.2,0,1740167464.19,2025-02-21T19:51:04.190Z
0.4,-1,-0.2,-2.7,0,1,1740167464.2,2025-02-21T19:51:04.200Z
1.4,-1.4,-0.2,-2.2,0.2,0.7,1740167464.21,2025-02-21T19:51:04.210Z
1,-1.4,0,-1.5,0.5,1,1740167464.22,2025-02-21T19:51:04.220Z
1,-1.2,0,-1.5,1.7,1,1740167464.23,2025-02-21T19:51:04.230Z
0.8,-1.4,-0.2,-1,1,1.2,1740167464.24,2025-02-21T19:51:04.240Z
0.8,-1.2,-0.2,-1.2,0.7,1,1740167464.25,2025-02-21T19:51:04.250Z
1,-1.4,-0.2,-1.5,0.5,1,1740167464.26,2025-02-21T19:51:04.260Z
1,-1,-0.2,-1.7,0,0.7,1740167464.27,2025-02-21T19:51:04.270Z
1.2,-1,0,-1.5,0.2,1,1740167464.28,2025-02-21T19:51:04.280Z
1.2,-0.8,-0.4,-1.7,0.7,0.7,1740167464.29,2025-02-21T19:51:04.290Z
1.2,-1,0,-1.7,0.7,1.2,1740167464.3,2025-02-21T19:51:04.300Z
0.8,-1.4,-0.2,-1.5,0.5,1.7,1740167464.31,2025-02-21T19:51:04.310Z
1,-1.6,-0.4,-0.7,0,2,1740167464.32,2025-02-21T19:51:04.320Z
0.6,-1.2,-0.2,-0.5,0.5,1.7,1740167464.33,2025-02-21T19:51:04.330Z
1,-1.2,0.2,-0.2,0.2,1.5,1740167464.34,2025-02-21T19:51:04.340Z
1,-1.2,0,-0.2,-1,1.5,1740167464.35,2025-02-21T19:51:04.350Z
0.8,-1.2,0.4,0.2,-1,1.7,1740167464.361,2025-02-21T19:51:04.361Z
1,-1.2,0,0.2,-0.7,1.5,1740167464.371,2025-02-21T19:51:04.371Z
0.6,-1.2,0,0,-0.2,1.2,1740167464.381,2025-02-21T19:51:04.381Z
1,-1.4,0.2,0.2,0.2,1,1740167464.391,2025-02-21T19:51:04.391Z
0.8,-1.2,0,-0.2,-0.2,0.2,1740167464.401,2025-02-21T19:51:04.401Z
