accelX,accelY,accelZ,rateX,rateY,rateZ,timestamp,isoTimestamp
0.6,0,-0.2,2.4,15.6,8.3,1740168262.352,2025-02-21T20:04:22.352Z
1.2,-0.8,-0.6,-0.5,18.1,7.1,1740168262.363,2025-02-21T20:04:22.363Z
0.8,-0.4,0,-1.2,15.4,3.2,1740168262.373,2025-02-21T20:04:22.373Z
0.4,-0.2,-0.2,-1,13.7,-0.7,1740168262.383,2025-02-21T20:04:22.383Z
1,-0.4,-1,-1,13.2,-1.5,1740168262.393,2025-02-21T20:04:22.393Z
0.6,-0.6,-0.4,1.5,12.7,-2.2,1740168262.403,2025-02-21T20:04:22.403Z
1,-0.2,-0.4,6.1,12.4,-3.9,1740168262.413,2025-02-21T20:04:22.413Z
0.8,-0.8,-0.2,13.4,11.7,-5.9,1740168262.423,2025-02-21T20:04:22.423Z
1,-0.4,0,15.1,13.4,-6.3,1740168262.433,2025-02-21T20:04:22.433Z
1.2,-0.8,-0.4,18.3,13.9,-5.4,1740168262.443,2025-02-21T20:04:22.443Z
0.8,-1,0,18.3,14.9,-6.3,1740168262.453,2025-02-21T20:04:22.453Z
0.8,-0.6,-0.2,21.2,12.4,-10.5,1740168262.463,2025-02-21T20:04:22.463Z
0.6,-0.2,-0.6,25.6,11.5,-17.1,1740168262.474,2025-02-21T20:04:22.474Z
0.6,-0.6,-0.6,9.8,14.9,-19.3,1740168262.484,2025-02-21T20:04:22.484Z
1,-1,0.2,24.2,12.7,-20.5,1740168262.494,2025-02-21T20:04:22.494Z
1.4,-0.4,-0.8,15.1,16.1,-25.4,1740168262.504,2025-02-21T20:04:22.504Z
1,-1,-0.2,11.5,15.4,-23.9,1740168262.514,2025-02-21T20:04:22.514Z
0.6,-0.8,0,14.9,18.1,-21.7,1740168262.524,2025-02-21T20:04:22.524Z
0.8,-0.4,-0.6,12.9,21.2,-17.3,1740168262.534,2025-02-21T20:04:22.534Z
0.6,-0.6,-0.2,20.3,21.7,-17.1,1740168262.544,2025-02-21T20:04:22.544Z
1.2,-0.6,-1,20.5,21.2,-14.6,1740168262.554,2025-02-21T20:04:22.554Z
0.6,-0.8,0,26.1,22,-12.7,1740168262.564,2025-02-21T20:04:22.564Z
0.8,-0.2,-0.2,13.2,18.3,-7.8,1740168262.574,2025-02-21T20:04:22.574Z
1,-1,-0.2,12.2,21,-4.4,1740168262.584,2025-02-21T20:04:22.584Z
1,-0.6,0,16.8,21.5,-4.1,1740168262.594,2025-02-21T20:04:22.594Z
1.2,-0.8,-0.2,20.3,22.2,-3.7,1740168262.604,2025-02-21T20:04:22.604Z
1.2,-0.4,-0.2,15.1,24.6,0,1740168262.614,2025-02-21T20:04:22.614Z
0.8,-0.8,0.2,15.1,28.3,3.7,1740168262.624,2025-02-21T20:04:22.624Z
0.8,-0.6,-0.4,6.1,23.2,7.6,1740168262.634,2025-02-21T20:04:22.634Z
1.2,-1,-0.2,13.9,25.6,3.4,1740168262.645,2025-02-21T20:04:22.645Z
1,-0.6,-0.2,6.3,19.3,-0.2,1740168262.655,2025-02-21T20:04:22.655Z
0.4,-0.4,-0.2,8.1,21.2,-1.5,1740168262.665,2025-02-21T20:04:22.665Z
1.2,-0.6,-0.6,12,22.9,-2.7,1740168262.675,2025-02-21T20:04:22.675Z
0.8,-0.2,-0.6,13.9,19.8,-3.2,1740168262.685,2025-02-21T20:04:22.685Z
1,-0.4,0,16.3,22.2,-1,1740168262.695,2025-02-21T20:04:22.695Z
0.6,-0.4,-0.2,20,23.7,-2.9,1740168262.705,2025-02-21T20:04:22.705Z
0.6,-0.8,0,22.9,21.2,-2.9,1740168262.715,2025-02-21T20:04:22.715Z
1,-0.4,-0.4,13.7,18.1,-0.7,1740168262.725,2025-02-21T20:04:22.725Z
0.8,-0.8,0.4,13.4,16.6,-0.7,1740168262.735,2025-02-21T20:04:22.735Z
0.4,-0.6,0.2,7.3,11.5,-1.2,1740168262.745,2025-02-21T20:04:22.745Z
1,-0.6,-0.6,9.8,15.1,-1.5,1740168262.756,2025-02-21T20:04:22.756Z
1,-0.4,-0.4,9.5,12.4,-1.7,1740168262.766,2025-02-21T20:04:22.766Z
0.6,0,-0.2,7.6,9.5,-1.7,1740168262.776,2025-02-21T20:04:22.776Z
0.6,-0.8,0.2,2.7,9.3,0.2,1740168262.786,2025-02-21T20:04:22.786Z
1.2,-0.6,0,2.2,8.8,-0.2,1740168262.796,2025-02-21T20:04:22.796Z
0.8,-1,-0.2,8.1,13.7,-2.7,1740168262.806,2025-02-21T20:04:22.806Z
1,-0.2,-0.4,7.1,11.5,-3.9,1740168262.816,2025-02-21T20:04:22.816Z
0.8,-0.8,0.2,9.8,15.4,-6.1,1740168262.826,2025-02-21T20:04:22.826Z
0.6,-0.6,-0.4,8.8,15.6,-8.5,1740168262.836,2025-02-21T20:04:22.836Z
1.2,-0.8,-0.4,6.8,10.2,-8.5,1740168262.846,2025-02-21T20:04:22.846Z
1.2,-0.4,0.2,9,10.2,-8.5,1740168262.856,2025-02-21T20:04:22.856Z
0.8,-0.8,0,10,10,-7.1,1740168262.866,2025-02-21T20:04:22.866Z
0.6,-0.4,0.2,9.3,12.4,-7.1,1740168262.876,2025-02-21T20:04:22.876Z
0.8,-0.6,0,3.2,11,-5.4,1740168262.886,2025-02-21T20:04:22.886Z
1,-0.8,-0.4,3.2,10.7,-3.9,1740168262.896,2025-02-21T20:04:22.896Z
1.2,-0.6,-0.2,5.4,12.9,-4.4,1740168262.906,2025-02-21T20:04:22.906Z
0.8,-1,0.2,2.7,11.5,-4.9,1740168262.916,2025-02-21T20:04:22.916Z
0.6,-1,0,-1.5,10.2,-3.2,1740168262.927,2025-02-21T20:04:22.927Z
1,-1,0.2,5.1,13.2,-1.2,1740168262.937,2025-02-21T20:04:22.937Z
0.8,-1.2,0.2,2.9,11.5,-3.7,1740168262.947,2025-02-21T20:04:22.947Z
1.2,-0.4,-0.4,4.9,12,-5.4,1740168262.957,2025-02-21T20:04:22.957Z
1,-0.8,0.2,2.9,12,-8.8,1740168262.967,2025-02-21T20:04:22.967Z
0.4,-0.6,0,-2.7,10.5,-8.8,1740168262.977,2025-02-21T20:04:22.977Z
1.2,-0.8,0,0.5,11,-9.3,1740168262.987,2025-02-21T20:04:22.987Z
1.2,-1.2,0,-5.9,4.4,-8.1,1740168262.997,2025-02-21T20:04:22.997Z
1.2,-1,0,-6.6,5.9,-7.3,1740168263.007,2025-02-21T20:04:23.007Z
0.4,-1,0.4,-6.3,4.1,-6.6,1740168263.017,2025-02-21T20:04:23.017Z
1,-0.8,-0.2,-13.7,-3.2,-5.4,1740168263.027,2025-02-21T20:04:23.027Z
1.2,-1,-0.2,-21.5,-6.6,-4.1,1740168263.038,2025-02-21T20:04:23.038Z
0.8,-0.6,0,-18.3,-5.6,-2,1740168263.048,2025-02-21T20:04:23.048Z
1,-0.4,-0.2,-21.7,-5.6,1,1740168263.058,2025-02-21T20:04:23.058Z
0.6,-0.8,0,-26.6,-6.3,3.4,1740168263.068,2025-02-21T20:04:23.068Z
1,-0.4,-0.2,-17.3,-2,4.6,1740168263.078,2025-02-21T20:04:23.078Z
1.2,-0.4,0,-26.6,-2.2,4.6,1740168263.088,2025-02-21T20:04:23.088Z
0.8,-0.8,-0.2,-22.7,1,4.6,1740168263.098,2025-02-21T20:04:23.098Z
0.6,-0.4,0,-17.3,5.4,1.7,1740168263.108,2025-02-21T20:04:23.108Z
0.8,-0.6,-0.4,-21.2,5.6,1,1740168263.118,2025-02-21T20:04:23.118Z
1,-0.6,0,-15.6,6.8,0.5,1740168263.128,2025-02-21T20:04:23.128Z
1.4,0,0.2,-15.9,4.4,0.5,1740168263.138,2025-02-21T20:04:23.138Z
0.8,-1,0.2,-13.9,3.2,1.7,1740168263.148,2025-02-21T20:04:23.148Z
1,0.2,-0.6,-9.8,3.4,2.7,1740168263.158,2025-02-21T20:04:23.158Z
0.6,-0.8,0.2,-11.2,2.9,4.1,1740168263.168,2025-02-21T20:04:23.168Z
1.4,-0.4,0,-12.7,2,4.6,1740168263.178,2025-02-21T20:04:23.178Z
1.2,-0.6,0,-11.5,2.7,5.1,1740168263.188,2025-02-21T20:04:23.188Z
1.2,-0.2,-0.4,-12.2,0.2,6.8,1740168263.198,2025-02-21T20:04:23.198Z
1.2,-0.6,-0.2,-10.5,-0.5,8.1,1740168263.209,2025-02-21T20:04:23.209Z
0.8,0,-0.4,-6.1,1,7.8,1740168263.219,2025-02-21T20:04:23.219Z
1,-1,0,-6.8,0.5,8.1,1740168263.229,2025-02-21T20:04:23.229Z
1,-0.6,0,-6.6,0.7,8.5,1740168263.239,2025-02-21T20:04:23.239Z
1,-1,-0.2,-4.6,1,9.3,1740168263.249,2025-02-21T20:04:23.249Z
1,-0.6,-0.2,-3.4,1.5,9,1740168263.259,2025-02-21T20:04:23.259Z
0.8,-0.6,-0.2,-2.4,1.2,9,1740168263.269,2025-02-21T20:04:23.269Z
0.8,-0.6,-0.4,-2.2,-1,9,1740168263.279,2025-02-21T20:04:23.279Z
1.2,-0.2,0.2,-0.5,-5.6,8.1,1740168263.289,2025-02-21T20:04:23.289Z
1,-0.8,0,1,-3.9,8.3,1740168263.299,2025-02-21T20:04:23.299Z
0.8,-0.6,0,2.4,-1.7,8.1,1740168263.309,2025-02-21T20:04:23.309Z
1.2,-1,0,2.2,1,8.1,1740168263.319,2025-02-21T20:04:23.319Z
1,-1,-0.2,1.2,1.5,8.5,1740168263.33,2025-02-21T20:04:23.330Z
1,-1,0,1.2,1.7,9.3,1740168263.34,2025-02-21T20:04:23.340Z
1.2,-0.6,0,-1.5,0,8.5,1740168263.35,2025-02-21T20:04:23.350Z
1,-0.2,0,-3.9,-6.1,7.6,1740168263.36,2025-02-21T20:04:23.360Z
0.6,-0.6,-0.2,-3.2,-6.8,6.6,1740168263.37,2025-02-21T20:04:23.370Z
1,-0.8,-0.2,-1.5,-1.5,6.6,1740168263.38,2025-02-21T20:04:23.380Z
0.6,-0.4,0,0.7,2.9,4.1,1740168263.39,2025-02-21T20:04:23.390Z
1.2,-0.8,0.4,0,4.4,2.4,1740168263.4,2025-02-21T20:04:23.400Z
